время,координата,плотность, вязкость, давление, разность давления
0,0,900,1.5e-05,6e+06,0
0,1000,900,1.5e-05,5.9925e+06,0
0,2000,900,1.5e-05,5.98407e+06,0
0,3000,900,1.5e-05,5.97564e+06,0
0,4000,900,1.5e-05,5.9672e+06,0
0,5000,900,1.5e-05,5.95877e+06,0
0,6000,900,1.5e-05,5.95034e+06,0
0,7000,900,1.5e-05,5.9419e+06,0
0,8000,900,1.5e-05,5.93347e+06,0
0,9000,900,1.5e-05,5.92504e+06,0
0,10000,900,1.5e-05,5.9166e+06,0
0,11000,900,1.5e-05,5.90817e+06,0
0,12000,900,1.5e-05,5.89974e+06,0
0,13000,900,1.5e-05,5.8913e+06,0
0,14000,900,1.5e-05,5.88287e+06,0
0,15000,900,1.5e-05,5.87444e+06,0
0,16000,900,1.5e-05,5.866e+06,0
0,17000,900,1.5e-05,5.85757e+06,0
0,18000,900,1.5e-05,5.84914e+06,0
0,19000,900,1.5e-05,5.8407e+06,0
0,20000,900,1.5e-05,5.83227e+06,0
0,21000,900,1.5e-05,5.82384e+06,0
0,22000,900,1.5e-05,5.8154e+06,0
0,23000,900,1.5e-05,5.80697e+06,0
0,24000,900,1.5e-05,5.79854e+06,0
0,25000,900,1.5e-05,5.7901e+06,0
0,26000,900,1.5e-05,5.78167e+06,0
0,27000,900,1.5e-05,5.77324e+06,0
0,28000,900,1.5e-05,5.76481e+06,0
0,29000,900,1.5e-05,5.75637e+06,0
0,30000,900,1.5e-05,5.74794e+06,0
0,31000,900,1.5e-05,5.73951e+06,0
0,32000,900,1.5e-05,5.73107e+06,0
0,33000,900,1.5e-05,5.72264e+06,0
0,34000,900,1.5e-05,5.71421e+06,0
0,35000,900,1.5e-05,5.70577e+06,0
0,36000,900,1.5e-05,5.69734e+06,0
0,37000,900,1.5e-05,5.68891e+06,0
0,38000,900,1.5e-05,5.68047e+06,0
0,39000,900,1.5e-05,5.67204e+06,0
0,40000,900,1.5e-05,5.66361e+06,0
0,41000,900,1.5e-05,5.65517e+06,0
0,42000,900,1.5e-05,5.64674e+06,0
0,43000,900,1.5e-05,5.63831e+06,0
0,44000,900,1.5e-05,5.62987e+06,0
0,45000,900,1.5e-05,5.62144e+06,0
0,46000,900,1.5e-05,5.61301e+06,0
0,47000,900,1.5e-05,5.60457e+06,0
0,48000,900,1.5e-05,5.59614e+06,0
0,49000,900,1.5e-05,5.58771e+06,0
0,50000,900,1.5e-05,5.57927e+06,0
0,51000,900,1.5e-05,5.57084e+06,0
0,52000,900,1.5e-05,5.56241e+06,0
