время,координата,плотность, вязкость, давление
0,0,900,1.5e-05,6e+06
0,1000,900,1.5e-05,6e+06
0,2000,900,1.5e-05,6.00843e+06
0,3000,900,1.5e-05,6.01687e+06
0,4000,900,1.5e-05,6.0253e+06
0,5000,900,1.5e-05,6.03373e+06
0,6000,900,1.5e-05,6.04217e+06
0,7000,900,1.5e-05,6.0506e+06
0,8000,900,1.5e-05,6.05903e+06
0,9000,900,1.5e-05,6.06747e+06
0,10000,900,1.5e-05,6.0759e+06
0,11000,900,1.5e-05,6.08433e+06
0,12000,900,1.5e-05,6.09277e+06
0,13000,900,1.5e-05,6.1012e+06
0,14000,900,1.5e-05,6.10963e+06
0,15000,900,1.5e-05,6.11807e+06
0,16000,900,1.5e-05,6.1265e+06
0,17000,900,1.5e-05,6.13493e+06
0,18000,900,1.5e-05,6.14337e+06
0,19000,900,1.5e-05,6.1518e+06
0,20000,900,1.5e-05,6.16023e+06
0,21000,900,1.5e-05,6.16867e+06
0,22000,900,1.5e-05,6.1771e+06
0,23000,900,1.5e-05,6.18553e+06
0,24000,900,1.5e-05,6.19397e+06
0,25000,900,1.5e-05,6.2024e+06
0,26000,900,1.5e-05,6.21083e+06
0,27000,900,1.5e-05,6.21927e+06
0,28000,900,1.5e-05,6.2277e+06
0,29000,900,1.5e-05,6.23613e+06
0,30000,900,1.5e-05,6.24457e+06
0,31000,900,1.5e-05,6.253e+06
0,32000,900,1.5e-05,6.26143e+06
0,33000,900,1.5e-05,6.26987e+06
0,34000,900,1.5e-05,6.2783e+06
0,35000,900,1.5e-05,6.28673e+06
0,36000,900,1.5e-05,6.29516e+06
0,37000,900,1.5e-05,6.3036e+06
0,38000,900,1.5e-05,6.31203e+06
0,39000,900,1.5e-05,6.32046e+06
0,40000,900,1.5e-05,6.3289e+06
0,41000,900,1.5e-05,6.33733e+06
0,42000,900,1.5e-05,6.34576e+06
0,43000,900,1.5e-05,6.3542e+06
0,44000,900,1.5e-05,6.36263e+06
0,45000,900,1.5e-05,6.37106e+06
0,46000,900,1.5e-05,6.3795e+06
0,47000,900,1.5e-05,6.38793e+06
0,48000,900,1.5e-05,6.39636e+06
0,49000,900,1.5e-05,6.4048e+06
0,50000,900,1.5e-05,6.41323e+06
0,51000,900,1.5e-05,6.42166e+06
0,52000,900,1.5e-05,6.4301e+06
0,53000,900,1.5e-05,6.43853e+06
0,54000,900,1.5e-05,6.44696e+06
0,55000,900,1.5e-05,6.4554e+06
0,56000,900,1.5e-05,6.46383e+06
0,57000,900,1.5e-05,6.47226e+06
0,58000,900,1.5e-05,6.4807e+06
0,59000,900,1.5e-05,6.48913e+06
0,60000,900,1.5e-05,6.49756e+06
0,61000,900,1.5e-05,6.506e+06
0,62000,900,1.5e-05,6.51443e+06
0,63000,900,1.5e-05,6.52286e+06
0,64000,900,1.5e-05,6.5313e+06
0,65000,900,1.5e-05,6.53973e+06
0,66000,900,1.5e-05,6.54816e+06
0,67000,900,1.5e-05,6.5566e+06
0,68000,900,1.5e-05,6.56503e+06
0,69000,900,1.5e-05,6.57346e+06
0,70000,900,1.5e-05,6.5819e+06
0,71000,900,1.5e-05,6.59033e+06
0,72000,900,1.5e-05,6.59876e+06
0,73000,900,1.5e-05,6.6072e+06
0,74000,900,1.5e-05,6.61563e+06
0,75000,900,1.5e-05,6.62406e+06
0,76000,900,1.5e-05,6.6325e+06
0,77000,900,1.5e-05,6.64093e+06
0,78000,900,1.5e-05,6.64936e+06
0,79000,900,1.5e-05,6.6578e+06
0,80000,900,1.5e-05,6.66623e+06
0,81000,900,1.5e-05,6.67466e+06
0,82000,900,1.5e-05,6.6831e+06
0,83000,900,1.5e-05,6.69153e+06
0,84000,900,1.5e-05,6.69996e+06
0,85000,900,1.5e-05,6.7084e+06
0,86000,900,1.5e-05,6.71683e+06
0,87000,900,1.5e-05,6.72526e+06
0,88000,900,1.5e-05,6.7337e+06
0,89000,900,1.5e-05,6.74213e+06
0,90000,900,1.5e-05,6.75056e+06
0,91000,900,1.5e-05,6.759e+06
0,92000,900,1.5e-05,6.76743e+06
0,93000,900,1.5e-05,6.77586e+06
0,94000,900,1.5e-05,6.7843e+06
0,95000,900,1.5e-05,6.79273e+06
0,96000,900,1.5e-05,6.80116e+06
0,97000,900,1.5e-05,6.8096e+06
0,98000,900,1.5e-05,6.81803e+06
2000,0,0,0,6e+06,0
2000,1000,900,1.5e-05,6e+06,0
2000,2000,900,1.5e-05,6e+06,0
2000,3000,900,1.5e-05,6.00843e+06,0
2000,4000,900,1.5e-05,6.01687e+06,0
2000,5000,900,1.5e-05,6.0253e+06,0
2000,6000,900,1.5e-05,6.03373e+06,0
2000,7000,900,1.5e-05,6.04217e+06,0
2000,8000,900,1.5e-05,6.0506e+06,0
2000,9000,900,1.5e-05,6.05903e+06,0
2000,10000,900,1.5e-05,6.06747e+06,0
2000,11000,900,1.5e-05,6.0759e+06,0
2000,12000,900,1.5e-05,6.08433e+06,0
2000,13000,900,1.5e-05,6.09277e+06,0
2000,14000,900,1.5e-05,6.1012e+06,0
2000,15000,900,1.5e-05,6.10963e+06,0
2000,16000,900,1.5e-05,6.11807e+06,0
2000,17000,900,1.5e-05,6.1265e+06,0
2000,18000,900,1.5e-05,6.13493e+06,0
2000,19000,900,1.5e-05,6.14337e+06,0
2000,20000,900,1.5e-05,6.1518e+06,0
2000,21000,900,1.5e-05,6.16023e+06,0
2000,22000,900,1.5e-05,6.16867e+06,0
2000,23000,900,1.5e-05,6.1771e+06,0
2000,24000,900,1.5e-05,6.18553e+06,0
2000,25000,900,1.5e-05,6.19397e+06,0
2000,26000,900,1.5e-05,6.2024e+06,0
2000,27000,900,1.5e-05,6.21083e+06,0
2000,28000,900,1.5e-05,6.21927e+06,0
2000,29000,900,1.5e-05,6.2277e+06,0
2000,30000,900,1.5e-05,6.23613e+06,0
2000,31000,900,1.5e-05,6.24457e+06,0
