время,координата,плотность, вязкость, давление
0,0,900,1.5e-05,6e+06
0,1000,900,1.5e-05,6.00928e+06
0,2000,900,1.5e-05,6.01771e+06
0,3000,900,1.5e-05,6.02614e+06
0,4000,900,1.5e-05,6.03458e+06
0,5000,900,1.5e-05,6.04301e+06
0,6000,900,1.5e-05,6.05144e+06
0,7000,900,1.5e-05,6.05988e+06
0,8000,900,1.5e-05,6.06831e+06
0,9000,900,1.5e-05,6.07674e+06
0,10000,900,1.5e-05,6.08518e+06
0,11000,900,1.5e-05,6.09361e+06
0,12000,900,1.5e-05,6.10204e+06
0,13000,900,1.5e-05,6.11048e+06
0,14000,900,1.5e-05,6.11891e+06
0,15000,900,1.5e-05,6.12734e+06
0,16000,900,1.5e-05,6.13578e+06
0,17000,900,1.5e-05,6.14421e+06
0,18000,900,1.5e-05,6.15264e+06
0,19000,900,1.5e-05,6.16108e+06
0,20000,900,1.5e-05,6.16951e+06
0,21000,900,1.5e-05,6.17794e+06
0,22000,900,1.5e-05,6.18638e+06
0,23000,900,1.5e-05,6.19481e+06
0,24000,900,1.5e-05,6.20324e+06
0,25000,900,1.5e-05,6.21168e+06
0,26000,900,1.5e-05,6.22011e+06
0,27000,900,1.5e-05,6.22854e+06
0,28000,900,1.5e-05,6.23698e+06
0,29000,900,1.5e-05,6.24541e+06
0,30000,900,1.5e-05,6.25384e+06
0,31000,900,1.5e-05,6.26228e+06
0,32000,900,1.5e-05,6.27071e+06
0,33000,900,1.5e-05,6.27914e+06
0,34000,900,1.5e-05,6.28757e+06
0,35000,900,1.5e-05,6.29601e+06
0,36000,900,1.5e-05,6.30444e+06
0,37000,900,1.5e-05,6.31287e+06
0,38000,900,1.5e-05,6.32131e+06
0,39000,900,1.5e-05,6.32974e+06
0,40000,900,1.5e-05,6.33817e+06
0,41000,900,1.5e-05,6.34661e+06
0,42000,900,1.5e-05,6.35504e+06
0,43000,900,1.5e-05,6.36347e+06
0,44000,900,1.5e-05,6.37191e+06
0,45000,900,1.5e-05,6.38034e+06
0,46000,900,1.5e-05,6.38877e+06
0,47000,900,1.5e-05,6.39721e+06
0,48000,900,1.5e-05,6.40564e+06
0,49000,900,1.5e-05,6.41407e+06
0,50000,900,1.5e-05,6.42251e+06
0,51000,900,1.5e-05,6.43094e+06
0,52000,900,1.5e-05,6.43937e+06
0,53000,900,1.5e-05,6.44781e+06
0,54000,900,1.5e-05,6.45624e+06
0,55000,900,1.5e-05,6.46467e+06
0,56000,900,1.5e-05,6.47311e+06
0,57000,900,1.5e-05,6.48154e+06
0,58000,900,1.5e-05,6.48997e+06
0,59000,900,1.5e-05,6.49841e+06
0,60000,900,1.5e-05,6.50684e+06
0,61000,900,1.5e-05,6.51527e+06
0,62000,900,1.5e-05,6.52371e+06
0,63000,900,1.5e-05,6.53214e+06
0,64000,900,1.5e-05,6.54057e+06
0,65000,900,1.5e-05,6.54901e+06
0,66000,900,1.5e-05,6.55744e+06
0,67000,900,1.5e-05,6.56587e+06
0,68000,900,1.5e-05,6.57431e+06
0,69000,900,1.5e-05,6.58274e+06
0,70000,900,1.5e-05,6.59117e+06
0,71000,900,1.5e-05,6.59961e+06
0,72000,900,1.5e-05,6.60804e+06
0,73000,900,1.5e-05,6.61647e+06
0,74000,900,1.5e-05,6.62491e+06
0,75000,900,1.5e-05,6.63334e+06
0,76000,900,1.5e-05,6.64177e+06
0,77000,900,1.5e-05,6.65021e+06
0,78000,900,1.5e-05,6.65864e+06
0,79000,900,1.5e-05,6.66707e+06
0,80000,900,1.5e-05,6.67551e+06
0,81000,900,1.5e-05,6.68394e+06
0,82000,900,1.5e-05,6.69237e+06
0,83000,900,1.5e-05,6.70081e+06
0,84000,900,1.5e-05,6.70924e+06
0,85000,900,1.5e-05,6.71767e+06
0,86000,900,1.5e-05,6.72611e+06
0,87000,900,1.5e-05,6.73454e+06
0,88000,900,1.5e-05,6.74297e+06
0,89000,900,1.5e-05,6.75141e+06
0,90000,900,1.5e-05,6.75984e+06
0,91000,900,1.5e-05,6.76827e+06
0,92000,900,1.5e-05,6.77671e+06
0,93000,900,1.5e-05,6.78514e+06
0,94000,900,1.5e-05,6.79357e+06
0,95000,900,1.5e-05,6.80201e+06
0,96000,900,1.5e-05,6.81044e+06
0,97000,900,1.5e-05,6.81887e+06
0,98000,900,1.5e-05,6.82731e+06
