нули,время,давление
0,0,7.64449e+06
0,2000,7.62762e+06
0,4000,7.61076e+06
0,6000,7.59389e+06
0,8000,7.57702e+06
0,10000,7.56016e+06
0,12000,7.54329e+06
0,14000,7.52642e+06
0,16000,7.50956e+06
0,18000,7.49269e+06
0,20000,7.47582e+06
0,22000,7.45896e+06
0,24000,7.44209e+06
0,26000,7.42522e+06
0,28000,7.40836e+06
0,30000,7.39149e+06
0,32000,7.37463e+06
0,34000,7.35776e+06
0,36000,7.34089e+06
0,38000,7.32403e+06
0,40000,7.30716e+06
0,42000,7.29029e+06
0,44000,7.27343e+06
0,46000,7.25656e+06
0,48000,7.23969e+06
0,50000,7.22283e+06
0,52000,7.20596e+06
0,54000,7.18909e+06
0,56000,7.17223e+06
0,58000,7.15536e+06
0,60000,7.13849e+06
0,62000,7.12163e+06
0,64000,7.10476e+06
0,66000,7.08789e+06
0,68000,7.07103e+06
0,70000,7.05416e+06
0,72000,7.03729e+06
0,74000,7.02043e+06
0,76000,7.00356e+06
0,78000,6.98669e+06
0,80000,6.96983e+06
0,82000,6.95296e+06
0,84000,6.93609e+06
0,86000,6.91923e+06
0,88000,6.90236e+06
0,90000,6.88549e+06
0,92000,6.86863e+06
0,94000,6.85176e+06
0,96000,6.8349e+06
0,98000,6.81803e+06
0,100000,6.80116e+06
0,102000,6.7843e+06
0,104000,6.76743e+06
0,106000,6.75056e+06
0,108000,6.7337e+06
0,110000,6.71683e+06
0,112000,6.69996e+06
0,114000,6.6831e+06
0,116000,6.66623e+06
0,118000,6.64936e+06
0,120000,6.6325e+06
0,122000,6.61563e+06
0,124000,6.59876e+06
0,126000,6.5819e+06
0,128000,6.56503e+06
0,130000,6.54816e+06
0,132000,6.5313e+06
0,134000,6.51443e+06
0,136000,6.49756e+06
0,138000,6.4807e+06
0,140000,6.46383e+06
0,142000,6.44696e+06
0,144000,6.4301e+06
0,146000,6.41323e+06
0,148000,6.39636e+06
0,150000,6.3795e+06
0,152000,6.36263e+06
0,154000,6.34576e+06
0,156000,6.3289e+06
0,158000,6.31203e+06
0,160000,6.29516e+06
0,162000,6.2783e+06
0,164000,6.26143e+06
0,166000,6.24457e+06
0,168000,6.2277e+06
0,170000,6.21083e+06
0,172000,6.19397e+06
0,174000,6.1771e+06
0,176000,6.16023e+06
0,178000,6.14337e+06
0,180000,6.1265e+06
0,182000,6.10963e+06
0,184000,6.09277e+06
0,186000,6.0759e+06
0,188000,6.05903e+06
0,190000,6.04217e+06
0,192000,6.0253e+06
0,194000,6.00843e+06
0,196000,6e+06
0,198000,6e+06
